Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
Rockstar Games,Grand Theft Auto V,2014,Action,6.06,9.71,0.6,3.02,19.39
Activision,Call of Duty: Black Ops 3,2015,Shooter,6.18,6.05,0.41,2.44,15.09
Rockstar Games,Red Dead Redemption 2,2018,Action-Adventure,5.26,6.21,0.21,2.26,13.94
Activision,Call of Duty: WWII,2017,Shooter,4.67,6.21,0.4,2.12,13.4
EA Sports,FIFA 18,2017,Sports,1.27,8.64,0.15,1.73,11.8
Electronic Arts,FIFA 17,2016,Sports,1.26,7.95,0.12,1.61,10.94
Sony Interactive Entertainment,Uncharted (PS4),2016,Action,4.49,3.93,0.21,1.7,10.33
Sony Interactive Entertainment,Spider-Man (PS4),2018,Action-Adventure,3.64,3.39,0.32,1.41,8.76
Activision,Call of Duty: Infinite Warfare,2016,Shooter,3.11,3.83,0.19,1.36,8.48
Bethesda Softworks,Fallout 4,2015,Role-Playing,2.91,3.97,0.27,1.34,8.48
EA Sports,FIFA 16,2015,Sports,1.15,5.77,0.07,1.23,8.22
Electronic Arts,Star Wars Battlefront 2015,2015,Shooter,3.31,3.19,0.23,1.3,8.03
Activision,Call of Duty: Advanced Warfare,2014,Shooter,2.84,3.34,0.14,1.22,7.53
Electronic Arts,Battlefield 1,2016,Shooter,2.2,3.65,0.29,1.12,7.26
Sony Computer Entertainment,The Last of Us,2014,Action-Adventure,2.7,2.86,0.11,1.1,6.77
Sony Computer Entertainment,MineCraft,2014,Misc,1.89,3.13,0.35,0.96,6.33
EA Sports,FIFA 15,2014,Sports,0.83,4.49,0.05,0.94,6.32
Sony Interactive Entertainment,God of War (PS4),2018,Action,2.83,2.17,0.13,1.02,6.15
Sony Interactive Entertainment,Horizon: Zero Dawn,2017,Action,2.2,2.43,0.28,0.92,5.82
Activision,Destiny,2014,Shooter,2.53,2.13,0.16,0.94,5.76
Sony Computer Entertainment,Uncharted: The Nathan Drake Collection,2015,Action,2.55,2.11,0.1,0.94,5.7
Namco Bandai Games,The Witcher 3: Wild Hunt,2015,Role-Playing,1.48,2.82,0.28,0.81,5.39
Square Enix,Final Fantasy XV,2016,Role-Playing,1.81,1.53,1.05,0.68,5.07
Activision,Crash Bandicoot N. Sane Trilogy,2017,Platform,1.09,2.92,0.07,0.74,4.83
Capcom,Monster Hunter: World,2018,Action,1.03,1.06,2.17,0.42,4.67
Blizzard Entertainment,Overwatch,2016,Shooter,1.84,1.8,0.17,0.73,4.54
Electronic Arts,Star Wars Battlefront II (2017),2017,Shooter,1.7,1.99,0.12,0.73,4.53
Ubisoft,Tom Clancy's The Division,2016,Shooter,1.49,2.04,0.16,0.69,4.37
Ubisoft,Tom Clancy's Rainbow Six: Siege,2015,Shooter,1.29,2.06,0.36,0.64,4.36
Ubisoft,Watch Dogs,2014,Action-Adventure,1.4,2.13,0.11,0.68,4.32
Activision,Call of Duty: Ghosts,2013,Shooter,1.79,1.64,0.05,0.69,4.17
Ubisoft,Assassin's Creed: Unity,2014,Action,1.25,2.16,0.09,0.65,4.14
Activision,Destiny 2,2017,Shooter,1.92,1.44,0.1,0.69,4.14
Warner Bros. Interactive,Batman: Arkham Knight,2015,Action,1.65,1.68,0.11,0.66,4.11
Ubisoft,Assassin's Creed Origins,2017,Action,1.22,2.11,0.11,0.63,4.06
Ubisoft,Far Cry 4,2014,Shooter,1.18,2.14,0.11,0.63,4.06
2K Sports,NBA 2K16,2015,Sports,2.56,0.66,0.05,0.71,3.98
Ubisoft,Far Cry 5,2018,Action,1.44,1.73,0.15,0.62,3.95
Electronic Arts,Battlefield 4,2013,Shooter,1.4,1.74,0.19,0.62,3.94
Sony Interactive Entertainment,Gran Turismo Sport,2017,Racing,0.63,2.35,0.24,0.54,3.77
Ubisoft,Assassin's Creed Syndicate,2015,Action,0.9,2.06,0.08,0.55,3.6
2K Sports,NBA 2K17,2016,Sports,2.28,0.59,0.03,0.63,3.52
Warner Bros. Interactive Entertainment,Mortal Kombat X,2015,Fighting,1.94,0.94,0,0.61,3.49
EA Sports,FIFA Soccer 14,2013,Sports,0.62,2.18,0.12,0.51,3.43
Bethesda Softworks,The Elder Scrolls V: Skyrim,2016,Role-Playing,1.24,1.5,0.08,0.54,3.36
Ubisoft,Watch Dogs 2,2016,Action,0.98,1.74,0.12,0.52,3.36
